tube_assembly_id,supplier,quote_date,annual_usage,min_order_quantity,bracket_pricing,quantity,cost,material_id,diameter,wall,length,num_bends,bend_radius,end_a_1x,end_a_2x,end_x_1x,end_x_2x,end_a,end_x,num_boss,num_bracket,other,type_totals,component_totals,spec_totals
TA-00002,S-0066,2013-07-07,0,0,Yes,1,21.905933019146104,SP-0019,6.35,0.71,137.0,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0,1,2.0,0
TA-00002,S-0066,2013-07-07,0,0,Yes,2,12.3412139792904,SP-0019,6.35,0.71,137.0,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0,1,2.0,0
TA-00002,S-0066,2013-07-07,0,0,Yes,5,6.601826143565379,SP-0019,6.35,0.71,137.0,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0,1,2.0,0
TA-00002,S-0066,2013-07-07,0,0,Yes,10,4.6877695119712,SP-0019,6.35,0.71,137.0,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0,1,2.0,0
TA-00002,S-0066,2013-07-07,0,0,Yes,25,3.5415611802607296,SP-0019,6.35,0.71,137.0,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0,1,2.0,0
TA-00002,S-0066,2013-07-07,0,0,Yes,50,3.2244064477000696,SP-0019,6.35,0.71,137.0,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0,1,2.0,0
TA-00002,S-0066,2013-07-07,0,0,Yes,100,3.08252143576504,SP-0019,6.35,0.71,137.0,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0,1,2.0,0
TA-00002,S-0066,2013-07-07,0,0,Yes,250,2.99905966403855,SP-0019,6.35,0.71,137.0,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0,1,2.0,0
TA-00004,S-0066,2013-07-07,0,0,Yes,1,21.9727024365273,SP-0019,6.35,0.71,137.0,9,19.05,N,N,N,N,EF-008,EF-008,0,0,0,1,2.0,0
TA-00004,S-0066,2013-07-07,0,0,Yes,2,12.4079833966715,SP-0019,6.35,0.71,137.0,9,19.05,N,N,N,N,EF-008,EF-008,0,0,0,1,2.0,0
TA-00004,S-0066,2013-07-07,0,0,Yes,5,6.668595560946571,SP-0019,6.35,0.71,137.0,9,19.05,N,N,N,N,EF-008,EF-008,0,0,0,1,2.0,0
TA-00004,S-0066,2013-07-07,0,0,Yes,10,4.75453892935239,SP-0019,6.35,0.71,137.0,9,19.05,N,N,N,N,EF-008,EF-008,0,0,0,1,2.0,0
TA-00004,S-0066,2013-07-07,0,0,Yes,25,3.60833059764193,SP-0019,6.35,0.71,137.0,9,19.05,N,N,N,N,EF-008,EF-008,0,0,0,1,2.0,0
TA-00004,S-0066,2013-07-07,0,0,Yes,50,3.2911758650812595,SP-0019,6.35,0.71,137.0,9,19.05,N,N,N,N,EF-008,EF-008,0,0,0,1,2.0,0
TA-00004,S-0066,2013-07-07,0,0,Yes,100,3.14929085314623,SP-0019,6.35,0.71,137.0,9,19.05,N,N,N,N,EF-008,EF-008,0,0,0,1,2.0,0
TA-00004,S-0066,2013-07-07,0,0,Yes,250,3.06582908141974,SP-0019,6.35,0.71,137.0,9,19.05,N,N,N,N,EF-008,EF-008,0,0,0,1,2.0,0
TA-00005,S-0066,2013-09-01,0,0,Yes,1,28.3742203279491,SP-0029,19.05,1.24,109.0,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0,3,3.0,0
TA-00005,S-0066,2013-09-01,0,0,Yes,2,16.5143025656149,SP-0029,19.05,1.24,109.0,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0,3,3.0,0
TA-00005,S-0066,2013-09-01,0,0,Yes,5,9.397795496402802,SP-0029,19.05,1.24,109.0,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0,3,3.0,0
TA-00005,S-0066,2013-09-01,0,0,Yes,10,7.027481179370481,SP-0029,19.05,1.24,109.0,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0,3,3.0,0
TA-00005,S-0066,2013-09-01,0,0,Yes,25,5.603066941905039,SP-0029,19.05,1.24,109.0,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0,3,3.0,0
TA-00005,S-0066,2013-09-01,0,0,Yes,50,5.19410426044524,SP-0029,19.05,1.24,109.0,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0,3,3.0,0
TA-00005,S-0066,2013-09-01,0,0,Yes,100,5.00770630358941,SP-0029,19.05,1.24,109.0,4,50.8,N,N,N,N,EF-003,EF-003,0,0,0,3,3.0,0
